,fragmentA,fragmentB,number_dissimilar,number_similar,prop_similarity,total_species
0,A,A,0,37,1.0,37
1,A,B,8,29,0.7837837837837838,37
2,A,C,11,26,0.7027027027027027,37
3,A,D,9,28,0.7567567567567568,37
4,B,A,1,29,0.9666666666666667,30
5,B,B,0,30,1.0,30
6,B,C,5,25,0.8333333333333334,30
7,B,D,4,26,0.8666666666666667,30
8,C,A,1,26,0.9629629629629629,27
9,C,B,2,25,0.9259259259259259,27
10,C,C,0,27,1.0,27
11,C,D,1,26,0.9629629629629629,27
12,D,A,4,28,0.875,32
13,D,B,6,26,0.8125,32
14,D,C,6,26,0.8125,32
15,D,D,0,32,1.0,32
16,A,A,0,339,1.0,339
17,A,B,90,249,0.7345132743362832,339
18,A,C,139,200,0.5899705014749262,339
19,A,D,93,246,0.7256637168141593,339
20,B,A,20,249,0.9256505576208178,269
21,B,B,0,269,1.0,269
22,B,C,70,199,0.7397769516728625,269
23,B,D,33,236,0.8773234200743495,269
24,C,A,12,200,0.9433962264150944,212
25,C,B,13,199,0.9386792452830188,212
26,C,C,0,212,1.0,212
27,C,D,13,199,0.9386792452830188,212
28,D,A,38,246,0.8661971830985915,284
29,D,B,48,236,0.8309859154929577,284
30,D,C,85,199,0.7007042253521126,284
31,D,D,0,284,1.0,284
32,A,A,0,2441,1.0,2441
33,A,B,932,1509,0.6181892666939779,2441
34,A,C,1465,976,0.3998361327324867,2441
35,A,D,1050,1391,0.5698484227775502,2441
36,B,A,142,1509,0.9139915202907329,1651
37,B,B,0,1651,1.0,1651
38,B,C,725,926,0.5608721986674743,1651
39,B,D,375,1276,0.7728649303452453,1651
40,C,A,109,976,0.8995391705069125,1085
41,C,B,159,926,0.8534562211981567,1085
42,C,C,0,1085,1.0,1085
43,C,D,143,942,0.8682027649769585,1085
44,D,A,319,1391,0.8134502923976609,1710
45,D,B,434,1276,0.7461988304093568,1710
46,D,C,768,942,0.5508771929824562,1710
47,D,D,0,1710,1.0,1710
