,seed,speciation_rate,species_richness,time
0,0,0.0001,673,0.0
1,0,0.0001,862,10.0
2,0,0.0001,1005,20.0
3,0,0.0001,1076,30.0
4,0,0.0001,1161,40.0
5,0,0.0001,1195,50.0
6,0,0.0001,1265,60.0
7,0,0.0001,1323,70.0
8,0,0.0001,1333,80.0
9,0,0.0001,1356,90.0
10,0,0.0001,1379,100.0
11,0,0.0001,1381,110.0
12,0,0.0001,1374,120.0
13,0,0.0001,1349,130.0
14,0,0.0001,1359,140.0
15,0,0.0001,1354,150.0
16,0,0.0005,884,0.0
17,0,0.0005,1206,10.0
18,0,0.0005,1464,20.0
19,0,0.0005,1644,30.0
20,0,0.0005,1831,40.0
21,0,0.0005,1937,50.0
22,0,0.0005,2073,60.0
23,0,0.0005,2202,70.0
24,0,0.0005,2307,80.0
25,0,0.0005,2346,90.0
26,0,0.0005,2419,100.0
27,0,0.0005,2423,110.0
28,0,0.0005,2404,120.0
29,0,0.0005,2353,130.0
30,0,0.0005,2359,140.0
31,0,0.0005,2337,150.0
32,0,0.001,973,0.0
33,0,0.001,1376,10.0
34,0,0.001,1709,20.0
35,0,0.001,1943,30.0
36,0,0.001,2193,40.0
37,0,0.001,2362,50.0
38,0,0.001,2540,60.0
39,0,0.001,2719,70.0
40,0,0.001,2872,80.0
41,0,0.001,2933,90.0
42,0,0.001,3015,100.0
43,0,0.001,3008,110.0
44,0,0.001,3004,120.0
45,0,0.001,2967,130.0
46,0,0.001,2958,140.0
47,0,0.001,2951,150.0
48,1,0.0001,673,0.0
49,1,0.0001,862,10.0
50,1,0.0001,1005,20.0
51,1,0.0001,1076,30.0
52,1,0.0001,1161,40.0
53,1,0.0001,1195,50.0
54,1,0.0001,1265,60.0
55,1,0.0001,1323,70.0
56,1,0.0001,1333,80.0
57,1,0.0001,1356,90.0
58,1,0.0001,1379,100.0
59,1,0.0001,1381,110.0
60,1,0.0001,1374,120.0
61,1,0.0001,1349,130.0
62,1,0.0001,1359,140.0
63,1,0.0001,1354,150.0
64,1,0.0005,884,0.0
65,1,0.0005,1206,10.0
66,1,0.0005,1464,20.0
67,1,0.0005,1644,30.0
68,1,0.0005,1831,40.0
69,1,0.0005,1937,50.0
70,1,0.0005,2073,60.0
71,1,0.0005,2202,70.0
72,1,0.0005,2307,80.0
73,1,0.0005,2346,90.0
74,1,0.0005,2419,100.0
75,1,0.0005,2423,110.0
76,1,0.0005,2404,120.0
77,1,0.0005,2353,130.0
78,1,0.0005,2359,140.0
79,1,0.0005,2337,150.0
80,1,0.001,973,0.0
81,1,0.001,1376,10.0
82,1,0.001,1709,20.0
83,1,0.001,1943,30.0
84,1,0.001,2193,40.0
85,1,0.001,2362,50.0
86,1,0.001,2540,60.0
87,1,0.001,2719,70.0
88,1,0.001,2872,80.0
89,1,0.001,2933,90.0
