,abundance,seed,speciation_rate,species_id,time
0,0,1,1e-06,0,0.0
1,18,1,1e-06,1,0.0
2,1,1,1e-06,2,0.0
3,6,1,1e-06,3,0.0
4,48,1,1e-06,4,0.0
5,16,1,1e-06,5,0.0
6,4,1,1e-06,6,0.0
7,71,1,1e-06,7,0.0
8,15,1,1e-06,8,0.0
9,46,1,1e-06,9,0.0
10,47,1,1e-06,10,0.0
11,40,1,1e-06,11,0.0
12,83,1,1e-06,12,0.0
13,40,1,1e-06,13,0.0
14,10,1,1e-06,14,0.0
15,54,1,1e-06,15,0.0
16,0,1,1e-06,0,50.0
17,7,1,1e-06,1,50.0
18,8,1,1e-06,2,50.0
19,13,1,1e-06,3,50.0
20,6,1,1e-06,4,50.0
21,12,1,1e-06,5,50.0
22,37,1,1e-06,6,50.0
23,21,1,1e-06,7,50.0
24,6,1,1e-06,8,50.0
25,52,1,1e-06,9,50.0
26,9,1,1e-06,10,50.0
27,37,1,1e-06,11,50.0
28,20,1,1e-06,12,50.0
29,14,1,1e-06,13,50.0
30,53,1,1e-06,14,50.0
31,29,1,1e-06,15,50.0
32,26,1,1e-06,16,50.0
33,31,1,1e-06,17,50.0
34,0,1,1e-06,0,100.0
35,1,1,1e-06,1,100.0
36,5,1,1e-06,2,100.0
37,38,1,1e-06,3,100.0
38,30,1,1e-06,4,100.0
39,71,1,1e-06,5,100.0
40,34,1,1e-06,6,100.0
41,133,1,1e-06,7,100.0
42,225,1,1e-06,8,100.0
43,200,1,1e-06,9,100.0
44,103,1,1e-06,10,100.0
45,474,1,1e-06,11,100.0
46,221,1,1e-06,12,100.0
47,285,1,1e-06,13,100.0
48,301,1,1e-06,14,100.0
49,214,1,1e-06,15,100.0
50,418,1,1e-06,16,100.0
51,279,1,1e-06,17,100.0
52,241,1,1e-06,18,100.0
53,329,1,1e-06,19,100.0
54,0,1,5e-06,0,0.0
55,7,1,5e-06,1,0.0
56,1,1,5e-06,2,0.0
57,18,1,5e-06,3,0.0
58,22,1,5e-06,4,0.0
59,1,1,5e-06,5,0.0
60,6,1,5e-06,6,0.0
61,8,1,5e-06,7,0.0
62,48,1,5e-06,8,0.0
63,24,1,5e-06,9,0.0
64,16,1,5e-06,10,0.0
65,4,1,5e-06,11,0.0
66,14,1,5e-06,12,0.0
67,7,1,5e-06,13,0.0
68,7,1,5e-06,14,0.0
69,40,1,5e-06,15,0.0
70,71,1,5e-06,16,0.0
71,8,1,5e-06,17,0.0
72,2,1,5e-06,18,0.0
73,3,1,5e-06,19,0.0
74,46,1,5e-06,20,0.0
75,40,1,5e-06,21,0.0
76,21,1,5e-06,22,0.0
77,1,1,5e-06,23,0.0
78,40,1,5e-06,24,0.0
79,37,1,5e-06,25,0.0
80,2,1,5e-06,26,0.0
81,5,1,5e-06,27,0.0
82,0,1,5e-06,0,50.0
83,7,1,5e-06,1,50.0
84,5,1,5e-06,2,50.0
85,8,1,5e-06,3,50.0
86,24,1,5e-06,4,50.0
87,3,1,5e-06,5,50.0
88,1,1,5e-06,6,50.0
89,13,1,5e-06,7,50.0
90,6,1,5e-06,8,50.0
91,8,1,5e-06,9,50.0
92,12,1,5e-06,10,50.0
93,37,1,5e-06,11,50.0
94,14,1,5e-06,12,50.0
95,21,1,5e-06,13,50.0
96,6,1,5e-06,14,50.0
97,9,1,5e-06,15,50.0
